Time,Car,X,Y,"Distance to BS(4982,905)"
294,2683,5031,1034,138
299,4816,5230,543,438
300,4816,5216,549,426
301,4816,5009,674,231
302,4816,4999,951,49
310,1459,5301,479,531
311,1459,5021,678,229
312,4006,4761,848,227
312,1459,4950,730,176
313,4006,4832,790,188
313,1459,4949,732,175
314,1459,4949,732,175
314,4006,4832,790,188
314,2751,4552,999,439
315,2751,4899,752,173
315,4006,4832,790,188
315,2104,4767,837,224
315,1459,4947,734,173
316,1459,4777,854,210
316,2751,5178,549,406
316,2104,4816,804,194
316,4006,4868,763,181
317,4006,5149,574,370
317,2736,4560,997,431
317,3615,4549,992,441
317,1916,4732,874,251
317,2104,4828,794,188
318,3615,4773,831,220
318,2104,5057,620,294
318,2103,4700,889,282
318,1916,4968,874,33
318,2736,4828,796,187
319,2736,4855,781,176
319,3615,4834,783,191
319,2104,5327,423,592
319,1916,5061,1110,219
319,2103,4852,781,179
320,2103,4853,783,177
320,2736,4855,781,176
320,915,4748,850,239
320,3615,4834,783,191
321,2103,4854,783,176
321,2736,4855,781,176
321,1188,4912,765,155
321,3615,4834,783,191
321,915,4842,779,187
322,2103,4897,758,169
322,3615,4968,690,215
322,2736,5000,672,232
322,1188,5076,1164,275
322,915,4969,688,216
323,3615,5407,373,680
323,2103,4894,758,170
323,2736,5351,421,608
323,383,5324,456,564
323,915,5380,392,649
324,2103,5021,1003,106
324,383,4973,701,203
324,871,4635,918,347
325,871,4843,767,194
325,3988,4695,1284,475
325,383,4940,715,193
326,3988,4879,1156,271
326,383,4940,715,193
326,871,4843,771,192
327,3988,4923,1113,216
327,871,4843,771,192
327,383,4940,715,193
328,383,4806,819,195
328,871,4925,715,197
328,3988,4927,1113,216
329,871,5273,462,530
329,3988,4956,984,83
330,3988,4857,794,166
330,3928,5150,500,437
331,3928,5155,510,430
331,3988,4561,1028,438
332,3928,5195,599,372
332,4799,5372,1164,468
333,4799,5349,1009,382
333,3928,5348,966,371
334,4799,5235,688,333
335,4799,5190,593,374
336,4799,5191,593,375
337,4799,5191,593,375
338,4799,5301,456,550
339,1524,5415,396,668
340,1524,5208,545,425
340,4958,4976,959,54
340,1983,4571,976,416
341,1524,5207,545,424
341,1983,4816,800,196
341,4958,5102,1235,352
342,1524,5207,545,424
342,1983,4821,800,191
342,4417,4560,982,428
343,1983,4827,790,192
343,1524,5099,417,501
343,4417,4792,829,204
344,4203,4612,941,371
344,4417,4841,792,180
344,1983,5059,616,298
345,306,4746,854,241
345,4417,4845,789,178
345,1983,5439,344,723
345,4203,4817,787,202
345,4621,4559,982,429
346,306,5006,640,266
346,4417,4935,723,187
346,4621,4868,767,178
346,4203,4914,717,199
347,4621,5181,533,421
347,306,5328,423,593
347,4417,5097,599,326
347,4203,5227,477,492
348,4417,5099,599,327
348,4110,4537,1003,454
349,4110,4833,785,190
349,4417,5099,599,327
350,4110,4836,781,191
350,4417,5104,593,334
351,4110,4836,781,191
351,4417,5120,446,478
352,4110,4928,727,185
352,1723,4554,988,435
352,3847,4682,901,299
353,3847,4964,680,224
353,5029,4938,866,58
353,1723,4857,761,189
353,4110,5226,498,473
354,5029,4832,630,312
354,1723,5170,541,409
354,3847,5326,425,590
355,5029,4938,885,47
356,1189,4582,986,407
357,47,4934,899,47
357,1189,4813,796,200
358,1189,4852,765,190
358,47,4902,812,122
359,1189,5201,533,431
359,47,4902,812,122
360,47,4902,812,122
361,47,4899,761,165
362,47,4904,746,176
362,3243,4730,866,254
363,3243,4807,789,209
363,47,5139,558,380
364,47,5414,367,690
364,3990,4964,959,56
364,3243,4843,756,203
365,3243,5120,555,376
365,3990,4915,848,86
366,3990,4915,848,86
366,3243,5459,315,758
366,1547,4784,831,210
367,3990,4909,767,155
367,1547,4841,779,188
367,3410,5247,512,473
368,3410,4963,721,184
368,1547,4841,777,190
368,3990,4909,767,155
368,2157,4794,816,207
369,1547,4842,777,189
369,2157,4841,783,186
369,3990,5092,576,346
369,3410,4958,725,181
370,3410,4958,725,181
370,3990,5387,384,659
370,46,4703,877,279
370,1288,5417,404,663
370,2157,4966,688,217
370,1547,4965,688,217
370,2811,5452,361,718
371,3410,4958,725,181
371,1288,5126,607,331
371,2383,4959,870,41
371,2811,5152,578,368
371,177,4692,872,291
371,2157,5255,475,508
371,1547,5324,435,581
371,46,4796,810,208
372,2811,4940,719,190
372,46,4812,796,201
372,2383,5136,1299,423
372,3410,4858,798,162
372,177,4944,798,112
372,1288,4951,727,180
373,3410,4562,1005,430
373,46,4975,688,216
373,177,5086,966,121
373,2811,4935,717,193
373,1288,4949,729,178
374,3126,4727,877,255
374,1288,4949,729,178
374,4555,4516,1015,478
374,46,5271,467,524
374,177,5309,829,336
374,2811,4935,717,193
375,2811,4934,717,193
375,4555,4756,845,233
375,1288,4944,736,172
375,3126,4814,814,190
375,177,5343,1046,388
375,2327,4521,999,469
376,2811,4823,810,184
376,3126,4857,785,173
376,4412,4637,930,345
376,582,4564,994,427
376,4555,4804,810,200
376,1288,4799,839,193
376,2327,4793,802,214
376,177,5342,1055,390
377,2327,4965,696,209
377,2811,4559,999,433
377,177,5342,1055,390
377,4412,4919,727,188
377,582,4813,819,188
377,4555,4976,684,220
377,3126,5129,578,358
377,4889,4736,852,251
377,1288,4516,1046,486
